Ecosys;Types;Metric;μ;∑;x;σX;%;T1;T2;T3;T4
allWilcox;T1;Com.;4.449;12208;3;4.5;5.1;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
allWilcox;T1;Reo.;0.06;164;0;0.3;5.3;n.a;✕ (0.07);✓ (< 0.05);✓ (< 0.05)
allWilcox;T1;Fil.;1.201;3296;1;7;1.5;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
allWilcox;T1;Sev.;3.675;10085;4;1.4;6.4;n.a;✕ (0.97);✕ (0.17);✓ (< 0.05)
allWilcox;T1;Cha.;1.024;2810;1;0.2;1.9;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
allWilcox;T1;Hun.;3.981;10924;3;4.3;0.1;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
allWilcox;T1;Chur.;14.894;40870;5;42.2;0;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
allWilcox;T2;Dup.;0.03;44;0;0.2;1.5;✕ (0.09);n.a;✓ (< 0.05);✓ (< 0.05)
allWilcox;T2;Tim.;114.632;170573;9;296.4;4.4;✓ (< 0.05);n.a;✓ (< 0.05);✕ (0.15)
allWilcox;T2;Com.;4.943;7355;3;4.6;3.1;✓ (< 0.05);n.a;✕ (0.72);✓ (< 0.05)
allWilcox;T2;Reo.;0.073;108;0;0.3;3.5;✕ (0.07);n.a;✓ (< 0.05);✕ (0.47)
allWilcox;T2;Fil.;5.095;7581;2;25.4;3.6;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
allWilcox;T2;Sev.;3.637;5412;4;1.3;3.4;✕ (0.97);n.a;✕ (0.44);✕ (0.1)
allWilcox;T2;Cha.;4.099;6100;2;18.7;4.1;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
allWilcox;T2;Hun.;474.881;706623;12;12481.7;3.8;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
allWilcox;T2;Chur.;11902.19;17710459;62;366988;8;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
allWilcox;T3;Dup.;0.058;670;0;0.4;22.3;✕ (0.16);✓ (< 0.05);n.a;✓ (< 0.05)
allWilcox;T3;Tim.;73.21;839942;6;215.8;21.6;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
allWilcox;T3;Com.;4.647;53311;3;4.3;22.2;✓ (< 0.05);✕ (0.72);n.a;✓ (< 0.05)
allWilcox;T3;Reo.;0.052;600;0;0.3;19.5;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
allWilcox;T3;Fil.;1.221;14013;1;4.4;6.6;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
allWilcox;T3;Sev.;3.919;44966;3;1.4;28.4;✕ (0.17);✕ (0.44);n.a;✓ (< 0.05)
allWilcox;T3;Cha.;1.048;12018;1;0.3;8.1;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
allWilcox;T3;Hun.;4.845;55587;3;10.7;0.3;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
