INTERNAL_ID,EXTERNAL_ID,ID_PROJECT,CREATION_DATE,OS_IMPACTED,PLATEFORM_IMPACTED,SEVERITY,REPORTER_ID,ASSIGNEE_ID,FIXING_TIME,COMMENTS,REOPENNED,DUPLICATE_BY,FILES_IMPACTED,CHANGESET_REQUIRED,TYPE,DATASET_ID,VERSION,HUNKS,CHURNS
279497,bug_apache_IVY-383,91,"2007-01-10 22:57:14",0,0,5,27519,29006,43,5,0,0,1,4,2,1,0,21,117
279504,bug_apache_QPID-279,85,"2007-01-11 19:49:54",0,0,2,27517,29022,132,5,1,0,4,6,2,1,0,18,0
279512,bug_apache_HARMONY-2981,139,"2007-01-12 08:47:58",0,0,4,29029,28759,4,2,0,0,4,4,2,1,0,28,324
279620,bug_apache_KARAF-1964,67,"2012-10-22 11:55:57",0,0,4,27643,28107,1,1,0,0,2,2,2,1,0,8,8
279635,bug_apache_ACCUMULO-829,69,"2012-10-22 19:32:26",0,0,4,29081,27935,309,17,2,0,8,8,2,1,0,176,4704
279636,bug_apache_QPID-4388,85,"2012-10-22 19:53:04",0,0,4,27642,29080,36,4,0,0,5,5,2,1,0,40,55
279681,bug_apache_MAPREDUCE-2448,180,"2011-04-22 21:40:38",0,0,2,27978,29105,2,8,0,0,3,3,2,1,0,15,69
279722,bug_apache_WICKET-3648,88,"2011-04-27 13:52:51",0,0,4,27705,27705,1,6,0,0,2,2,2,1,0,12,20
279815,bug_apache_WICKET-3318,88,"2011-01-10 03:26:21",0,0,4,27558,31463,37,4,0,0,2,2,2,1,0,10,110
279835,bug_apache_WICKET-3323,88,"2011-01-11 17:18:49",0,0,2,27705,31468,30,2,0,0,2,2,2,1,0,32,144
279906,bug_apache_AXIS2C-1451,141,"2010-02-18 16:13:23",0,0,6,27513,30344,17,8,0,0,1,2,2,1,0,6,456
279955,bug_apache_SYNAPSE-613,93,"2010-02-23 09:25:17",0,0,2,27568,29031,1,3,0,0,2,2,2,1,0,8,48
279956,bug_apache_SYNAPSE-614,93,"2010-02-23 10:45:17",0,0,4,27568,29031,2,3,0,0,3,3,2,1,0,15,99
279971,bug_apache_AMQCPP-288,101,"2010-02-24 08:25:55",0,0,4,27680,34834,0,2,0,0,2,2,2,1,0,20,246
280003,bug_apache_GERONIMODEVTOOLS-458,107,"2008-08-04 16:24:19",0,0,5,29147,29147,0,2,0,0,2,2,2,1,0,6,4
280060,bug_apache_SHINDIG-512,87,"2008-08-12 11:11:15",0,0,2,27522,29167,1,1,0,0,3,3,2,1,0,12,39
280082,bug_apache_WICKET-1897,88,"2008-10-25 18:37:37",0,0,4,27558,29182,234,1,0,0,6,6,2,1,0,42,390
280107,bug_apache_QPID-1410,85,"2008-10-29 14:00:05",0,0,5,27553,27553,27,8,0,0,1,2,2,1,0,7,4
280245,bug_apache_FLEX-34378,92,"2014-06-18 16:11:41",0,0,2,27916,29248,17,3,0,0,3,3,2,1,0,12,84
280251,bug_apache_PIG-4018,76,"2014-06-18 17:44:13",0,0,4,29250,29250,3,6,0,0,2,4,2,1,0,28,328
280277,bug_apache_TRINIDAD-2340,95,"2012-11-20 16:24:30",0,0,4,29435,29435,1,5,0,0,3,6,2,1,0,30,294
280359,bug_apache_DIRMINA-920,157,"2012-11-26 09:11:29",0,0,4,27517,31530,0,5,0,0,2,2,2,1,0,8,314
280363,bug_apache_CAMEL-5823,114,"2012-11-26 00:34:39",0,0,4,27593,27878,2,4,0,0,3,3,2,1,0,24,309
280399,bug_apache_CXF-5877,64,"2014-07-14 15:51:53",0,0,2,28301,29271,0,2,0,0,2,2,2,1,0,10,10
280404,bug_apache_SLING-3760,102,"2014-07-14 17:12:03",0,0,4,29245,29245,0,3,0,0,2,2,2,1,0,12,148
280419,bug_apache_DRILL-1140,51,"2014-07-14 21:30:04",0,0,4,27613,29277,6,5,0,0,2,2,2,1,0,8,36
280454,bug_apache_ZOOKEEPER-1966,169,"2014-07-15 14:52:11",0,0,4,29294,29294,1,14,0,0,4,4,2,1,0,24,2812
280464,bug_apache_OOZIE-1934,43,"2014-07-15 17:09:06",0,0,4,29299,29299,7,4,0,0,2,2,2,1,0,10,14
280468,bug_apache_HADOOP-10831,50,"2014-07-15 18:04:42",0,0,4,29301,29301,0,10,0,0,2,2,2,1,0,16,24
280538,bug_apache_MAHOUT-1427,235,"2014-03-01 06:13:25",0,0,2,28289,28289,136,24,0,0,7,7,2,1,0,231,1127
280571,bug_apache_MAHOUT-1428,235,"2014-03-02 20:47:56",0,0,4,27517,29333,64,7,1,0,40,40,2,1,0,2680,10600
280580,bug_apache_SYNAPSE-770,93,"2011-05-24 07:16:09",0,0,4,27517,27855,209,2,0,0,3,3,2,1,0,33,105
280656,bug_apache_GERONIMODEVTOOLS-756,107,"2011-05-31 08:50:01",0,0,2,27760,39205,21,3,0,0,2,2,2,1,0,8,12
280657,bug_apache_WICKET-3752,88,"2011-05-31 08:55:58",0,0,4,27558,29989,2,3,0,0,2,2,2,1,0,10,44
280712,bug_apache_TOMEE-1143,122,"2014-03-18 08:38:23",0,0,4,27517,39215,0,1,0,0,2,2,2,1,0,14,36
280725,bug_apache_ETCH-291,264,"2014-03-18 16:45:40",0,0,2,36045,36046,1,1,0,0,19,19,2,1,0,418,2033
280771,bug_apache_SLING-3463,102,"2014-03-19 10:24:22",0,0,4,29983,29983,0,3,0,0,2,2,2,1,0,12,94
280804,bug_apache_SOLR-6158,62,"2014-06-10 16:49:31",0,0,4,31546,31547,0,7,0,0,2,2,2,1,0,14,52
280875,bug_apache_OODT-308,90,"2011-08-09 01:01:32",0,0,2,27710,27710,0,2,0,0,3,3,2,1,0,30,441
280936,bug_apache_WICKET-3962,88,"2011-08-12 13:57:09",0,0,4,27991,27985,34,11,0,0,2,7,2,1,0,79,1071
280987,bug_apache_STRATOS-459,56,"2014-02-17 16:27:45",0,0,4,27942,31592,0,3,0,0,2,2,2,1,0,6,0
281020,bug_apache_MAHOUT-1419,235,"2014-02-18 19:42:24",0,0,4,29900,29900,6,31,0,0,4,4,2,1,0,32,1552
281022,bug_apache_CB-6059,71,"2014-02-18 20:15:29",0,0,2,27653,31601,0,4,0,0,2,2,2,1,0,6,18
281191,bug_apache_CAMEL-5321,114,"2012-05-31 20:55:22",0,0,4,27593,31626,0,8,0,0,3,3,2,1,0,18,411
281205,bug_apache_LUCENENET-493,173,"2012-05-31 14:12:30",0,0,4,27517,31628,22,7,0,0,3,16,2,1,0,457,5121
281238,bug_apache_FUNCTOR-18,251,"2012-06-01 04:34:30",0,0,2,29452,31049,0,2,0,0,4,4,2,1,0,48,1492
281272,bug_apache_DIRSERVER-1730,115,"2012-06-03 15:57:07",0,0,1,27517,31638,337,2,0,0,2,2,2,1,0,8,104
281301,bug_apache_KNOX-270,197,"2014-02-20 02:41:27",0,0,4,28227,28227,1,1,0,0,3,3,2,1,0,18,30
281310,bug_apache_KNOX-271,197,"2014-02-20 09:56:00",0,0,4,29368,29368,50,2,0,0,2,2,2,1,0,8,18
281435,bug_apache_TIKA-329,160,"2009-11-20 10:31:09",0,0,4,28169,29428,9,1,0,0,2,2,2,1,0,8,30
281438,bug_apache_ODFTOOLKIT-70,200,"2009-11-20 14:37:39",0,0,2,30514,35229,76,4,0,0,686,686,2,1,0,473340,14076720
281452,bug_apache_ORP-3,314,"2009-11-23 14:01:34",0,0,4,27981,31269,40,8,0,0,3,3,2,1,0,21,189
281464,bug_apache_SOLR-1598,62,"2009-11-24 16:03:38",0,0,4,30478,39231,16,2,0,0,1,2,2,1,0,6,63
281523,bug_apache_CURATOR-74,183,"2013-11-20 23:22:19",0,0,4,28273,31652,133,2,0,0,2,2,2,1,0,10,8
281527,bug_apache_CURATOR-75,183,"2013-11-21 20:42:44",0,0,4,28273,31653,74,3,0,0,2,2,2,1,0,12,24
281550,bug_apache_MESOS-831,68,"2013-11-21 17:12:10",0,0,4,28367,28367,19,3,0,0,4,4,2,1,0,24,32
281666,bug_apache_AMQ-3277,77,"2011-04-08 22:05:04",0,0,4,27527,29451,181,6,0,0,2,2,2,1,0,8,904
281742,bug_apache_HARMONY-2453,139,"2006-12-05 07:14:46",0,0,2,28735,29029,136,9,0,0,7,8,2,1,0,38,30
281747,bug_apache_HARMONY-2470,139,"2006-12-05 14:24:27",0,0,4,29029,31683,56,7,0,0,1,2,2,1,0,6,8
281749,bug_apache_HARMONY-2474,139,"2006-12-05 15:36:55",0,0,2,28735,31692,105,3,0,0,2,2,2,1,0,8,12
281759,bug_apache_HARMONY-2478,139,"2006-12-05 20:07:57",0,0,4,28168,30114,37,5,0,0,1,2,2,1,0,6,36
281778,bug_apache_DDLUTILS-79,276,"2006-03-14 18:33:54",0,0,2,28462,31705,120,1,0,0,2,2,2,1,0,8,38
281815,bug_apache_XMLBEANS-254,254,"2006-03-20 17:39:44",0,0,4,27517,31726,0,2,0,0,4,4,2,1,0,32,116
281890,bug_apache_SHINDIG-1867,87,"2012-09-12 14:57:27",0,0,4,27517,28682,7,4,1,0,2,2,2,1,0,10,68
281901,bug_apache_HIVE-3455,53,"2012-09-12 23:49:22",0,0,4,31748,31748,449,18,1,0,0,2,2,1,0,10,202
281927,bug_apache_WICKET-4760,88,"2012-09-14 09:40:32",0,0,4,27705,30631,3,3,0,0,1,2,2,1,0,9,24
281937,bug_apache_QPID-4311,85,"2012-09-14 15:57:42",0,0,2,27700,29750,66,3,0,0,2,2,2,1,0,12,78
281940,bug_apache_CAMEL-5616,114,"2012-09-14 16:39:34",0,0,4,27861,30532,5,10,1,0,5,5,2,1,0,45,705
281950,bug_apache_HADOOP-8818,50,"2012-09-16 16:45:08",0,0,2,30253,30253,0,8,0,0,2,2,2,1,0,8,8
281988,bug_apache_HBASE-9348,52,"2013-08-27 02:34:26",0,0,4,28257,28257,1,9,0,0,2,2,2,1,0,14,154
282060,bug_apache_PROVISIONR-48,370,"2013-08-29 20:14:27",0,0,4,27831,27831,0,1,0,0,3,3,2,1,0,27,114
282097,bug_apache_HADOOP-1979,50,"2007-10-02 01:00:12",0,0,2,29475,29469,261,8,1,0,2,2,2,1,0,12,82
282120,bug_apache_TEXEN-13,268,"2007-10-04 13:38:13",0,0,4,27517,29492,12,5,1,0,2,2,2,1,0,20,72
282154,bug_apache_LOG4NET-123,202,"2007-10-09 15:52:08",0,0,2,29176,29512,320,2,0,0,2,2,2,1,0,8,32
282169,bug_apache_HARMONY-4925,139,"2007-10-10 17:02:11",0,0,4,28735,29521,7,1,0,0,8,8,2,1,0,136,248
282244,bug_apache_WICKET-4164,88,"2011-10-24 00:23:35",0,0,4,27705,29547,1,8,0,0,2,2,2,1,0,14,60
282271,bug_apache_FELIX-3186,94,"2011-10-25 16:20:44",0,0,4,29560,28151,69,4,0,0,1,6,2,1,0,64,415
282303,bug_apache_AXIS2-4530,111,"2009-10-14 14:42:05",0,0,4,28516,29582,2,1,0,0,2,2,2,1,0,8,56
282320,bug_apache_COLLECTIONS-343,186,"2009-10-15 13:15:28",0,0,4,27517,29580,1232,2,1,0,17,17,2,1,0,323,3247
282333,bug_apache_FELIX-1766,94,"2009-10-16 11:06:45",0,0,4,27528,28167,6,6,0,0,6,14,2,1,0,114,3552
282376,bug_apache_WODEN-182,269,"2007-10-10 20:13:57",0,0,4,28891,29610,704,6,0,0,2,2,2,1,0,6,42
282458,bug_apache_SYNAPSE-156,93,"2007-10-19 17:51:18",0,0,4,28848,27568,6,4,0,0,9,9,2,1,0,414,3528
282526,bug_apache_STRATOS-392,56,"2014-01-29 09:42:22",0,0,4,28235,29664,7,2,0,0,3,3,2,1,0,12,12
282542,bug_apache_LUCENE-5420,46,"2014-01-29 14:59:33",0,0,2,27692,27692,0,7,0,0,2,2,2,1,0,16,58
282545,bug_apache_CONNECTORS-872,66,"2014-01-29 15:10:56",0,0,6,27641,27641,8,22,1,0,1,2,2,1,0,12,66
282560,bug_apache_HDFS-5849,98,"2014-01-29 20:44:36",0,0,4,28083,28083,1,5,0,0,2,2,2,1,0,8,88
282656,bug_apache_CHUKWA-261,130,"2009-05-23 01:33:02",0,0,4,27977,27977,4,6,0,0,2,2,2,1,0,10,104
282706,bug_apache_SHINDIG-1809,87,"2012-06-20 08:54:41",0,0,4,28681,29741,12,1,0,0,2,2,2,1,0,8,38
282722,bug_apache_HDFS-3550,98,"2012-06-20 21:48:54",0,0,2,29747,28370,4,10,0,0,4,4,2,1,0,36,60
282724,bug_apache_AMBARI-566,44,"2012-06-20 22:21:17",0,0,2,27886,27886,0,1,0,0,2,2,2,1,0,10,28
282726,bug_apache_AXIS2-5349,111,"2012-06-20 22:38:43",0,0,4,27517,29749,0,4,0,0,2,2,2,1,0,12,14
282752,bug_apache_SHINDIG-1810,87,"2012-06-21 18:50:07",0,0,2,28681,29757,7,1,0,0,2,2,2,1,0,14,86
282775,bug_apache_JCLOUDS-257,196,"2013-08-29 18:26:43",0,0,4,29674,29674,0,2,0,0,2,2,2,1,0,10,32
282786,bug_apache_SENTRY-1,60,"2013-08-30 20:04:31",0,0,4,27627,29364,7,12,0,0,3,3,2,1,0,18,585
282802,bug_apache_AMQ-4703,77,"2013-08-30 08:35:13",0,0,4,27643,27643,33,8,0,0,5,5,2,1,0,20,180
